webURL,,,,postalCode,cityName,neighborhood
http://www.yelp.com/biz/st-clouds-seattle,,,,98122,Seattle,Madrona
http://www.yelp.com/biz/the-hi-spot-cafe-seattle,,,,98122,Seattle,Madrona
http://www.yelp.com/biz/portage-bay-caf%C3%A9-and-catering-seattle-3,,,,98105,Seattle,University District
http://www.yelp.com/biz/boka-restaurant-bar-seattle-3,,,,98104,Seattle,Downtown
http://www.yelp.com/biz/eureka-seattle-4,,,,98105,Seattle,University District
http://www.yelp.com/biz/retro-restaurant-and-lounge-seattle,,,,98101,Seattle,Belltown
http://www.yelp.com/biz/roosevelt-ale-house-seattle,,,,98115,Seattle,Mapleleaf
http://www.yelp.com/biz/endolyne-joes-seattle,,,,98136,Seattle,Fauntleroy
http://www.yelp.com/biz/geraldines-counter-seattle-2,,,,98118,Seattle,Columbia City
http://www.yelp.com/biz/harrys-chicken-joint-seattle,,,,98136,Seattle,Seaview
http://www.yelp.com/biz/easy-joes-american-pub-seattle,,,,98104,Seattle,Downtown
http://www.yelp.com/biz/norms-eatery-and-ale-house-seattle,,,,98103,Seattle,Fremont
http://www.yelp.com/biz/tippe-and-drague-alehouse-seattle,,,,98144,Seattle,Beacon Hill
http://www.yelp.com/biz/luna-park-cafe-seattle,,,,98126,Seattle,
http://www.yelp.com/biz/cheese-wizards-food-truck-seattle,,,,98109,Seattle,University District
http://www.yelp.com/biz/rookies-sports-bar-and-grill-seattle,,,,98118,Seattle,Columbia City
http://www.yelp.com/biz/fremont-dock-sports-bar-seattle,,,,98103,Seattle,Fremont
http://www.yelp.com/biz/tig-asian-tapas-bar-seattle-2,,,,98104,Seattle,Pioneer Square
http://www.yelp.com/biz/chopstix-seattle-4,,,,98122,Seattle,Downtown
http://www.yelp.com/biz/larsens-danish-bakery-seattle,,,,98117,Seattle,"Ballard, Loyal Heights"
http://www.yelp.com/biz/hello-robin-seattle,,,,98112,Seattle,Capitol Hill
http://www.yelp.com/biz/two-tartes-bakery-seattle-4,,,,98108,Seattle,Georgetown
http://www.yelp.com/biz/columbia-city-bakery-seattle,,,,98118,Seattle,Columbia City
http://www.yelp.com/biz/the-original-bakery-seattle,,,,98136,Seattle,Fauntleroy
http://www.yelp.com/biz/auntie-annes-seattle,,,,98125,Seattle,Northgate
http://www.yelp.com/biz/rainin-ribs-bbq-and-smokehouse-lake-forest-park-2,,,,98155,Lake Forest Park,
http://www.yelp.com/biz/roro-bbq-and-grill-seattle-6,,,,98103,Seattle,Wallingford
http://www.yelp.com/biz/pinkys-kitchen-seattle,,,,98105,Seattle,Wallingford
http://www.yelp.com/biz/uncle-mikes-superlicious-bbq-seattle,,,,98106,Seattle,White Center
http://www.yelp.com/biz/bandits-bar-seattle,,,,98109,Seattle,Belltown
http://www.yelp.com/biz/sidestreet-kitchen-and-bar-burien,,,,98166,Burien,
http://www.yelp.com/biz/the-blu-grouse-seattle,,,,98108,Seattle,Georgetown
http://www.yelp.com/biz/tims-tavern-on-105th-seattle,,,,98133,Seattle,"Greenwood, Bitter Lake"
http://www.yelp.com/biz/the-beer-authority-seattle-3,,,,98125,Seattle,
http://www.yelp.com/biz/chucks-hop-shop-seattle-2,,,,98122,Seattle,Central District
http://www.yelp.com/biz/chucks-hop-shop-seattle,,,,98117,Seattle,Greenwood
http://www.yelp.com/biz/the-dray-seattle,,,,98117,Seattle,Phinney Ridge
http://www.yelp.com/biz/university-liquor-store-seattle,,,,98105,Seattle,"Ravenna, University District"
http://www.yelp.com/biz/west-seattle-cyclery-seattle,,,,98116,Seattle,Junction
http://www.yelp.com/biz/the-original-pancake-house-seattle,,,,98117,Seattle,"Ballard, Loyal Heights"
http://www.yelp.com/biz/lotties-lounge-seattle,,,,98118,Seattle,Columbia City
http://www.yelp.com/biz/biscuit-bitch-seattle,,,,98101,Seattle,Downtown
http://www.yelp.com/biz/row-house-cafe-seattle,,,,98109,Seattle,South Lake Union
http://www.yelp.com/biz/meanders-kitchen-seattle-3,,,,98106,Seattle,White Center
http://www.yelp.com/biz/yellow-dot-cafe-seattle-2,,,,98103,Seattle,Fremont
http://www.yelp.com/biz/big-al-brewing-seattle,,,,98106,Seattle,White Center
http://www.yelp.com/biz/flying-lion-brewing-seattle,,,,98118,Seattle,Columbia City
http://www.yelp.com/biz/lowercase-brewing-seattle,,,,98108,Seattle,South Park
